Area,Province,行政区域面积,乡,镇,街道办事处,户籍人口,地区生产总值,第一产业增加值,第二产业增加值,第三产业增加值,地方一般公共预算收入,地方一般公共预算支出,住户储蓄存款余额,年末金融机构各项贷款余额,设施农业种植占地面积,油料产量,棉花产量,规模以上工业企业,固定电话用户,普通中学在校学生,小学在校学生,医疗卫生机构床位,提供住宿的社会工作机构,提供住宿的社会工作机构床位
Unit,省份,平方公里,个,个,个,人,万元,万元,万元,万元,万元,万元,万元,万元,公顷,吨,吨,个,户,人,人,床,个,床
Remark,
科尔沁左翼中旗,内蒙古自治区,9573,6,11,,516463,1310800,579500,222900,508400,26053,436847,652646,442512,59,107789,,16,3446,16146,21163,2011,14,578,,
科尔沁左翼后旗,内蒙古自治区,11500,5,10,,395741,1228300,482400,224700,521200,30081,337353,644816,646100,21,34068,,24,15439,16281,20786,1405,11,444,,
开鲁县,内蒙古自治区,4353,,10,,387865,1308800,555300,223200,530300,28111,315514,1134318,544800,93,25019,,27,7251,17724,18361,1465,13,1051,,
库伦旗,内蒙古自治区,4709,3,5,,176525,540000,202300,35300,302400,9980,185960,352776,292026,133,3296,,7,5142,7440,9097,887,4,213,,
奈曼旗,内蒙古自治区,8135,6,8,,444727,1245300,391900,264800,588600,31520,421700,1011525,621903,138,17790,,30,9840,21189,26330,1789,8,805,,
扎鲁特旗,内蒙古自治区,16492,8,7,,304494,1319400,364600,446200,508600,79939,349482,736990,666682,65,4201,,21,9600,8181,15618,1356,6,443,,
霍林郭勒市,内蒙古自治区,585,1,,4,83531,1439600,26400,1035000,378200,128594,185489,793300,1060372,102,7085,,37,5890,6873,8984,787,1,60,,
东胜区,内蒙古自治区,2145,,3,12,273909,7022010,17292,2413617,4591101,540201,777380,9303668,21967700,124,29,,55,72000,31742,50186,4566,27,4193,,
达拉特旗,内蒙古自治区,8241,1,8,6,372034,3196972,448722,1384269,1363981,200878,500092,1734125,1517900,19816,27001,,52,8631,14603,27810,1120,9,1540,,
准格尔旗,内蒙古自治区,7692,3,7,4,333532,7519100,125900,4967700,2425500,826983,867845,4268000,4679400,,702,,105,53000,16333,27298,1349,8,1434,,
鄂托克前旗,内蒙古自治区,12221,,4,,81687,1404484,154067,840413,410004,119013,293611,493279,413946,166,325,,16,7981,3200,5702,523,1,190,,
鄂托克旗,内蒙古自治区,20367,2,4,,97973,3730405,102275,2768324,859806,284852,444182,1193900,1796700,32,4735,,96,6461,5342,11699,497,5,560,,
杭锦旗,内蒙古自治区,19253,1,5,,142817,1288326,242456,574116,471754,62339,347897,625107,694475,33,66318,,37,9750,4085,7159,631,3,664,,
乌审旗,内蒙古自治区,11674,1,5,,117547,3168900,173600,2198000,797300,301234,504001,824187,1250822,162,1033,,24,8632,5272,11601,818,12,689,,
伊金霍洛旗,内蒙古自治区,5487,,7,,180245,7106926,92370,4816668,2197888,758586,874859,3192805,2110000,812,,,67,14452,7571,17403,1284,5,551,,
海拉尔区,内蒙古自治区,1309,,2,7,288256,1744596,63762,403236,1277598,87927,316287,3224145,3973739,404,2591,,21,47532,16709,16347,3515,7,966,,
阿荣旗,内蒙古自治区,11073,4,8,,319778,948153,462282,114025,371846,29098,388464,947424,717508,213,1,,7,6100,12720,16635,1316,13,1687,,
莫力达瓦达斡尔族自治旗,内蒙古自治区,10356,4,11,,314218,866901,551804,42469,272628,26968,344092,665443,637608,30,4,,3,4700,10916,15218,1065,10,1154,,
鄂伦春自治旗,内蒙古自治区,54688,2,8,,240728,683090,287717,59732,335641,17361,361895,1002117,650041,70,,,5,10169,6469,8137,876,15,696,,
鄂温克族自治旗,内蒙古自治区,18657,6,4,,136292,1106256,96134,626538,383584,69562,248062,670828,728475,2230,6816,,14,11260,2894,4265,623,5,1172,,
陈巴尔虎旗,内蒙古自治区,17458,4,3,,53759,845531,150751,551755,143025,68611,205888,216352,216669,11,26123,,9,3036,959,1713,212,2,160,,
新巴尔虎左旗,内蒙古自治区,20107,5,2,,41431,250132,106516,38798,104818,7471,146936,106174,84198,1320,15000,,6,1580,771,1835,158,1,60,,
新巴尔虎右旗,内蒙古自治区,24840,4,3,,35012,595131,162302,328617,104212,32880,151924,146186,113373,,45,,13,3100,806,1729,178,2,68,,
满洲里市,内蒙古自治区,735,,2,10,172132,1414929,35836,371042,1008051,97648,445133,1906767,1265345,737,,,28,8200,9633,9048,1062,5,390,,
