序号,学校名称,预算总收入,高校类型,主管部门,所在省市
Unit,亿元
Remark,
173,河北工程大学,14.41 ,,河北省,河北省
174,重庆交通大学,14.37 ,,重庆市,重庆市
175,西华大学,14.17 ,,四川省,四川省
176,桂林电子科技大学,14.12 ,,广西壮族自治区,广西壮族自治区
177,曲阜师范大学,14.09 ,,山东省,山东省
178,北京外国语大学,14.08 ,双一流,教育部,北京市
179,内蒙古大学,14.03 ,双一流,内蒙古自治区,内蒙古自治区
180,广东技术师范大学,13.87 ,,广东省,广东省
181,浙江中医药大学,13.81 ,,浙江省,浙江省
182,成都大学（本级）,13.77 ,,四川省,四川省
183,西南科技大学,13.74 ,,四川省,四川省
184,南京林业大学,13.69 ,双一流,江苏省,江苏省
185,西南石油大学,13.67 ,双一流,四川省,四川省
186,新疆医科大学,13.66 ,,新疆维吾尔自治区,新疆维吾尔自治区
187,宁夏大学,13.63 ,双一流,宁夏回族自治区,宁夏回族自治区
188,上海海事大学,13.61 ,,上海市,上海市
189,河北农业大学,13.60 ,,河北省,河北省
190,广东外语外贸大学,13.58 ,,广东省,广东省
191,北京信息科技大学,13.57 ,,北京市,北京市
192,南京中医药大学,13.55 ,双一流,江苏省,江苏省
193,深圳技术大学,13.53 ,,广东省,广东省
194,北方民族大学,13.48 ,,国家民委,宁夏回族自治区
195,中国美术学院,13.46 ,双一流,浙江省,浙江省
196,浙江万里学院,13.40 ,,浙江省,浙江省
197,东莞理工学院,13.40 ,,广东省,广东省
198,新疆大学,13.24 ,双一流,新疆维吾尔自治区,新疆维吾尔自治区
199,西北大学（本级）,13.22 ,双一流,陕西省,陕西省
200,四川轻化工大学,13.10 ,,四川省,四川省
201,重庆工商大学,13.01 ,,重庆市,重庆市
202,兰州理工大学,12.95 ,,甘肃省,甘肃省
203,江西师范大学,12.88 ,,江西省,江西省
204,山东建筑大学,12.79 ,,山东省,山东省
205,上海工程技术大学,12.65 ,,上海市,上海市
206,青岛理工大学,12.53 ,,山东省,山东省
207,河北医科大学,12.49 ,,河北省,河北省
208,山东交通学院,12.44 ,,山东省,山东省
209,西华师范大学,12.32 ,,四川省,四川省
210,大连民族大学,12.32 ,,国家民委,辽宁省
211,河北科技大学,12.29 ,,河北省,河北省
212,东华理工大学,12.28 ,,江西省,江西省
213,长江大学,12.27 ,,湖北省,湖北省
214,上海海洋大学,12.22 ,双一流,上海市,上海市
215,内蒙古师范大学（本级）,12.21 ,,内蒙古自治区,内蒙古自治区
216,南昌航空大学,12.14 ,,江西省,江西省
217,天津体育学院,12.12 ,,天津市,天津市
218,河南师范大学,12.09 ,,河南省,河南省
219,首都经济贸易大学,11.99 ,,北京市,北京市
220,重庆理工大学,11.98 ,,重庆市,重庆市
221,安徽师范大学,11.97 ,,安徽省,安徽省
222,天津工业大学,11.92 ,双一流,天津市,天津市
223,浙江科技学院,11.90 ,,浙江省,浙江省
224,重庆邮电大学,11.90 ,,重庆市,重庆市
225,山东财经大学,11.89 ,,山东省,山东省
226,北京语言大学,11.87 ,,教育部,北京市
227,临沂大学,11.84 ,,山东省,山东省
228,天津理工大学,11.83 ,,天津市,天津市
229,江西财经大学,11.67 ,,江西省,江西省
230,云南师范大学（本级）,11.66 ,,云南省,云南省
231,中国音乐学院,11.59 ,双一流,北京市,北京市
232,中国医科大学,11.52 ,,辽宁省,辽宁省
233,浙江财经大学,11.51 ,,浙江省,浙江省
234,湖北工业大学,11.44 ,,湖北省,湖北省
235,武汉科技大学,11.44 ,,湖北省,湖北省
236,中央美术学院,11.42 ,双一流,教育部,北京市
237,广州中医药大学,11.36 ,双一流,广东省,广东省
238,常州大学,11.35 ,,江苏省,江苏省
239,河南农业大学,11.31 ,,河南省,河南省
240,江苏师范大学,11.29 ,,江苏省,江苏省
241,青岛农业大学,11.28 ,,山东省,山东省
242,南京工程学院,11.24 ,,江苏省,江苏省
243,上海应用技术大学（本级）,11.24 ,,上海市,上海市
244,江苏科技大学,11.20 ,,江苏省,江苏省
245,广东财经大学,11.01 ,,广东省,广东省
246,北京建筑大学,10.91 ,,北京市,北京市
247,上海中医药大学（本级）,10.91 ,双一流,上海市,上海市
248,广西医科大学（本级）,10.90 ,,广西壮族自治区,广西壮族自治区
249,贵州师范大学,10.89 ,,贵州省,贵州省
250,中北大学,10.84 ,,山西省,山西省
251,三峡大学,10.80 ,,湖北省,湖北省
252,北京电影学院,10.78 ,,北京市,北京市
253,成都中医药大学,10.74 ,双一流,四川省,四川省
254,青海大学,10.73 ,双一流,青海省,青海省
255,聊城大学,10.73 ,,山东省,山东省
256,天津科技大学,10.66 ,,天津市,天津市
257,河南科技大学,10.65 ,,河南省,河南省
258,广东药科大学,10.62 ,,广东省,广东省
259,西北师范大学,10.61 ,,甘肃省,甘肃省
